cik,name,arm,failed,detail
47307,CRAWFORD UNITED Corp  (CRAWA)  (CIK 0000047307),IPO,C0,"26.3 years of EDGAR history before the registration statement (earliest filing 1995-05-15, 10-Q) - not a new listing"
94845,LEVI STRAUSS & CO  (LEVI)  (CIK 0000094845),IPO,C0,"18.8 years of EDGAR history before the registration statement (earliest filing 2000-05-04, S-4) - not a new listing"
205695,NATIONWIDE LIFE INSURANCE CO  (CIK 0000205695),IPO,C0,"25.0 years of EDGAR history before the registration statement (earliest filing 1995-03-29, 10-K) - not a new listing"
835357,MONY LIFE INSURANCE CO OF AMERICA  (CIK 0000835357),IPO,C0,"20.5 years of EDGAR history before the registration statement (earliest filing 1998-09-29, S-1) - not a new listing"
884713,COTT CORP /CN/  (PRMW)  (CIK 0000884713),DESPAC,C0,"25.0 years of EDGAR history before the registration statement (earliest filing 1995-02-09, SC 13G/A) - not a new listing"
931148,GRAFTECH INTERNATIONAL LTD  (EAF)  (CIK 0000931148),IPO,C0,"22.9 years of EDGAR history before the registration statement (earliest filing 1996-04-10, SC 13G) - not a new listing"
1015383,"AMMO, INC.  (POWW, POWWP)  (CIK 0001015383)",IPO,C0,"22.7 years of EDGAR history before the registration statement (earliest filing 1997-06-16, SB-2) - not a new listing"
1021096,"Troika Media Group, Inc.  (CIK 0001021096)",IPO,C0,"20.2 years of EDGAR history before the registration statement (earliest filing 1999-05-28, 10SB12G) - not a new listing"
1070050,"AppTech Corp.  (APCX, APCXW)  (CIK 0001070050)",IPO,C0,"21.4 years of EDGAR history before the registration statement (earliest filing 1999-10-06, 10SB12G) - not a new listing"
1111559,TRADESTATION GROUP INC  (CIK 0001111559),DESPAC,C0,"21.7 years of EDGAR history before the registration statement (earliest filing 2000-04-17, S-4) - not a new listing"
1127203,NATIONWIDE LIFE INS CO  (CIK 0001127203),IPO,C0,"19.4 years of EDGAR history before the registration statement (earliest filing 2000-11-01, S-1) - not a new listing"
1164098,TRANSAMERICA LIFE INSURANCE CO  (CIK 0001164098),IPO,C0,"19.6 years of EDGAR history before the registration statement (earliest filing 2002-05-06, APP WD) - not a new listing"
1166272,"GENETIC TECHNOLOGIES LTD  (GENE, GNTLF)  (CIK 0001166272)",IPO,C0,"18.0 years of EDGAR history before the registration statement (earliest filing 2001-12-05, 12G3-2B) - not a new listing"
1169055,Noble Finance Co  (CIK 0001169055),IPO,C0,"19.1 years of EDGAR history before the registration statement (earliest filing 2002-03-13, S-4) - not a new listing"
1191070,BIONOMICS LIMITED/FI  (BNOX)  (CIK 0001191070),IPO,C0,"19.2 years of EDGAR history before the registration statement (earliest filing 2002-09-11, 12G3-2B) - not a new listing"
1265107,MONITRONICS INTERNATIONAL INC  (CIK 0001265107),IPO,C0,"16.1 years of EDGAR history before the registration statement (earliest filing 2003-10-28, S-4) - not a new listing"
1286139,LEGALZOOM COM INC  (LZ)  (CIK 0001286139),IPO,C0,"17.2 years of EDGAR history before the registration statement (earliest filing 2004-04-02, REGDEX) - not a new listing"
1312109,Silvergate Capital Corp  (SICP)  (CIK 0001312109),IPO,C0,"14.3 years of EDGAR history before the registration statement (earliest filing 2004-12-14, REGDEX) - not a new listing"
1314196,"OLB GROUP, INC.  (OLB)  (CIK 0001314196)",IPO,C0,"13.8 years of EDGAR history before the registration statement (earliest filing 2006-01-06, 1-A) - not a new listing"
1315098,Roblox Corp  (RBLX)  (CIK 0001315098),IPO,C0,"15.8 years of EDGAR history before the registration statement (earliest filing 2005-01-19, REGDEX) - not a new listing"
1318641,CLEVELAND BIOLABS INC  (STAB)  (CIK 0001318641),DESPAC,C0,"16.3 years of EDGAR history before the registration statement (earliest filing 2005-02-18, REGDEX) - not a new listing"
1355839,"PALTALK, INC.  (PALT)  (CIK 0001355839)",IPO,C0,"15.2 years of EDGAR history before the registration statement (earliest filing 2006-03-14, SB-2) - not a new listing"
1380106,"RAPID MICRO BIOSYSTEMS, INC.  (RPID)  (CIK 0001380106)",IPO,C0,"14.7 years of EDGAR history before the registration statement (earliest filing 2006-10-23, REGDEX) - not a new listing"
1388410,"PARALLAX HEALTH SCIENCES, INC.  (CIK 0001388410)",IPO,C0,"12.3 years of EDGAR history before the registration statement (earliest filing 2007-03-05, SB-2) - not a new listing"
1396536,"DUOS TECHNOLOGIES GROUP, INC.  (DUOT)  (CIK 0001396536)",IPO,C0,"14.0 years of EDGAR history before the registration statement (earliest filing 2007-04-27, SB-2) - not a new listing"
1408057,"iCoreConnect Inc.  (ICNP, ICCRW)  (CIK 0001408057)",IPO,C0,"13.9 years of EDGAR history before the registration statement (earliest filing 2007-08-13, 10SB12G) - not a new listing"
1412408,"Phreesia, Inc.  (PHR)  (CIK 0001412408)",IPO,C0,"11.8 years of EDGAR history before the registration statement (earliest filing 2007-09-11, REGDEX) - not a new listing"
1412558,"Evotec SE  (EVO, EVOTF)  (CIK 0001412558)",IPO,C0,"14.1 years of EDGAR history before the registration statement (earliest filing 2007-09-19, 425) - not a new listing"
1422930,"PUBMATIC, INC.  (PUBM)  (CIK 0001422930)",IPO,C0,"12.9 years of EDGAR history before the registration statement (earliest filing 2008-01-02, REGDEX) - not a new listing"
1425565,"Real Goods Solar, Inc.  (CIK 0001425565)",IPO,C0,"11.2 years of EDGAR history before the registration statement (earliest filing 2008-02-07, S-1) - not a new listing"
1440024,"Roadrunner Transportation Systems, Inc.  (CIK 0001440024)",IPO,C0,"10.5 years of EDGAR history before the registration statement (earliest filing 2008-07-24, S-1) - not a new listing"
1447362,CASTLE BIOSCIENCES INC  (CSTL)  (CIK 0001447362),IPO,C0,"10.7 years of EDGAR history before the registration statement (earliest filing 2008-10-02, REGDEX) - not a new listing"
